subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CSO-16-9A-JPROSO,-0.19017211160734396,-0.1398694451235699,-0.5561753808961644,0.005698138061629827,2,13.560922641875981
CSO-16-9A-JSMAGU,-0.16436203676385186,-0.4476247259672379,-0.3883300245414189,0.03210853559314807,19,13.473233189762075
CSO-16-9B-SJPAJI,-0.12672998740671965,-0.3677990941768993,-0.4058605992293498,-0.17211921787519924,24,13.368932542753274
CSO-17-10A-YVGOCA,-0.20172484610469713,-0.25392151725361684,-0.25489212222388774,-0.023273194821379455,24,13.707629761037852
CSO-17-10B-EHECO,-0.09710778255241383,-0.2669839707420924,-0.28596415207440923,-0.1960486375854332,15,13.595336898487085
CSO-17-10B-YCQUVE,-0.04151957805123731,0.38690222907344235,0.14462292488831127,0.0022231721139877782,12,14.933670189465946
CSO-17-11A-DJAPA,-0.15869477108354724,-0.4331199180694123,-0.41935207406621855,-0.45188536464898266,16,12.97838931357328
CSO-17-11A-JDAMO,-0.22030293937521328,-0.15432511729988913,-0.04403363299664985,-0.2871789479831478,6,13.735600803786534
CSO-17-11A-NPAHE,-0.09780417251443067,3.5383813545601894,1.735704884401412,0.15795195708127013,17,19.7756754649699
CSO-17-11A-RLPAIG,-0.11879843717668315,-0.4443484772959319,-0.44592733552798325,0.005732568930350166,4,13.43809976037119
CSO-17-11A-SPUVA,0.5302738157607069,-0.2448751105130036,-0.15958629285052273,-0.013142095648777124,6,14.554111758189858
CSO-17-11B-CDBEBU,-0.0893108332348479,3.4291094778985314,2.7672580294331954,0.17008585539098695,13,20.71858397092932
CSO-17-11C-JDAAG,-0.15650802249699677,0.13520927781999534,0.4576945715035674,-0.03906669066018728,7,14.838770577607816
CSO-17-11C-MAPAMA,-0.17386373541741282,-0.37111523067637225,-0.46292426372056594,0.018988570086745923,7,13.452526781713829
CSO-17-11C-MCAAG,-0.11357343508354169,0.0056120875062959895,1.2063238650186499,-0.011387139572921263,12,15.528416819309909
CSO-17-11C-SARJA,-0.07120320469074104,-0.34021266313687915,-0.37286272459923664,-0.06524601537103102,8,13.591916833643555
CSO-18-11A-ADBAHO,-0.12991398865661746,-0.3644838574531713,-0.3925484376449713,-0.3039378969160285,19,13.250557260770652
CSO-18-11B-YLLRE,-0.16803869574609473,-0.2601993395956278,-0.5046311033404967,-0.0017182455595115952,22,13.506854057199698
CSO-18-9B-MAMOLO,0.8503010817960717,-0.28518987442483834,-0.48592288955686974,0.20805279818114147,10,14.728682557436946
CSO-8-3A-DAPAVA,-0.17564363538434205,-0.48288349273314,-0.49623101474104925,0.20741789977478356,9,13.494101198357685
CSO-8-3A-KVPECO,-0.07310835553875814,3.5656767177756037,2.7789346298069852,0.28609610583850326,23,20.999040539323776
CSO-8-4A-ARAGR,0.9213793561295002,-0.059007012983487976,0.029648360171482997,0.1329777734624288,26,15.466439918221369
CSO-9-2A-EXMOCO,-0.10972538948486922,-0.3845011208029931,-0.4088722815435271,0.19113560732099258,17,13.729478256931046
CSO-9-4A-AGAPE,-0.057368938792318365,0.0536939236365414,-0.36776645910132466,0.1473094362183465,4,14.217309403402686
CSO-9-4A-DKVIMO,-0.16656183196170277,-0.44987741927918107,-0.46149749633602727,-0.44986097621854787,4,12.913643717645984
CSO-9-4A-DSMOMU,-0.06437603876233383,-0.20246821477664417,0.4179677145156265,0.0039557258115186815,21,14.5965206282296
CSO-9-4A-DVGATO,-0.16648500346320205,0.2921620792566637,1.4415132197324323,0.15902073860395216,9,16.167652475571288
